day,simulated,live_with_a_bug,live_with_bad_luck
41,0.0030581463,0.0030581463,-0.0003883515
42,-0.0029200447,-0.0029200447,-0.0052377145
43,0.0007773445,0.0007773445,-0.0004123467
44,-0.0103659861,-0.0103659861,-0.0118376171
45,-0.0033290477,-0.0033290477,-0.0059483141
46,-0.0103883349,-0.0103883349,-0.0134068979
47,-0.0057318957,-0.0057318957,-0.0086594152
48,0.0036584421,0.0036584421,0.0006619681
49,0.0008925110,0.0008925110,-0.0016841950
50,-0.0032118596,-0.0032118596,-0.0061537011
51,0.0005409705,0.0005409705,-0.0021929006
52,0.0027886280,0.0027886280,0.0007786720
53,-0.0151766797,-0.0151766797,-0.0162985796
54,-0.0036185756,-0.0036185756,-0.0051616345
55,0.0106295035,0.0106295035,0.0093116843
56,-0.0030630208,-0.0030630208,-0.0047173765
57,0.0150460653,0.0150460653,0.0134633140
58,-0.0022902562,-0.0022902562,-0.0036438338
59,-0.0002474491,-0.0002474491,-0.0004223374
60,0.0080517003,0.0080517003,0.0068767226
61,-0.0066825221,-0.0066825221,-0.0078547612
62,0.0170057862,0.0170057862,0.0168902789
63,-0.0103530542,-0.0103530542,-0.0095706534
64,0.0014455124,0.0014455124,0.0035971107
65,0.0075916289,0.0075916289,0.0088503806
66,-0.0016484744,-0.0016484744,-0.0011380676
67,0.0135001293,0.0135001293,0.0144463463
68,0.0140781447,0.0140781447,0.0149395041
69,0.0026044769,0.0026044769,0.0038938699
70,0.0054070711,0.0054070711,0.0068231787
71,0.0075134466,0.0075134466,0.0087776493
72,0.0001387874,0.0001387874,0.0012692549
73,0.0038152084,0.0038152084,0.0039587911
74,-0.0233160004,-0.0233160004,-0.0226869250
75,-0.0044375105,-0.0044375105,-0.0047783528
76,0.0058921534,0.0058921534,0.0063277638
77,-0.0052375521,-0.0052375521,-0.0048202090
78,0.0092536616,0.0092536616,0.0092266757
79,-0.0058935918,-0.0058935918,-0.0057513850
80,0.0021783485,0.0021783485,0.0013260938
81,0.0062636823,0.0062636823,0.0057299499
82,-0.0091005772,-0.0091005772,-0.0111015600
83,0.0043818547,0.0043818547,0.0029683697
84,-0.0052402200,-0.0052402200,-0.0049556315
85,0.0104174500,0.0104174500,0.0096169730
86,-0.0026681348,-0.0026681348,-0.0037907042
87,-0.0196313178,-0.0196313178,-0.0214155798
88,0.0212074393,0.0212074393,0.0191267840
89,0.0032582856,0.0032582856,0.0007302093
90,0.0013082619,0.0013082619,0.0000840446
91,-0.0059795479,-0.0059795479,-0.0070334063
92,-0.0054100249,-0.0054100249,-0.0061208076
93,0.0075038147,0.0075038147,0.0068971171
94,0.0004505366,0.0004505366,-0.0002234516
95,-0.0080480201,-0.0080480201,-0.0080922569
96,0.0019604514,0.0019604514,0.0012388757
97,0.0122521394,0.0122521394,0.0103129046
98,-0.0026642013,-0.0026642013,-0.0045058289
99,-0.0057293770,-0.0057293770,-0.0061400208
100,0.0006146451,0.0006146451,-0.0005540273
101,0.0244543394,0.0244543394,0.0224253168
102,0.0066341182,0.0066341182,0.0045822049
103,-0.0009467537,-0.0009467537,-0.0034761413
104,-0.0022542171,-0.0022542171,-0.0048265630
105,0.0171659627,0.0171659627,0.0150831383
106,0.0156225574,0.0156225574,0.0131556576
107,0.0015956529,0.0015956529,-0.0005144284
108,0.0069502404,0.0069502404,0.0056875549
109,-0.0112719660,-0.0112719660,-0.0126421781
110,-0.0134162582,-0.0134162582,-0.0129894683
111,0.0106714479,0.0106714479,0.0112113503
112,-0.0117951790,-0.0117951790,-0.0119310636
113,-0.0082946062,-0.0082946062,-0.0082083567
114,0.0005126958,0.0005126958,0.0006444740
115,-0.0064779610,-0.0064779610,-0.0059590993
116,0.0090723871,0.0090723871,0.0093328675
117,0.0029012617,0.0029012617,0.0026816457
118,-0.0044018011,-0.0044018011,-0.0050764063
119,0.0087456355,0.0087456355,0.0089620608
120,0.0042685367,0.0042685367,0.0042130186
121,0.0048290094,0.0048290094,0.0044381877
122,-0.0075942377,-0.0075942377,-0.0092466202
123,-0.0033957550,-0.0033957550,-0.0040326341
124,-0.0003855169,-0.0003855169,0.0005986007
125,-0.0125320135,-0.0125320135,-0.0132355276
126,0.0055859493,0.0055859493,0.0032253913
127,-0.0054404798,-0.0054404798,-0.0074771632
128,-0.0046721624,-0.0046721624,-0.0067394111
129,-0.0031529087,-0.0031529087,-0.0042181333
130,-0.0107503827,-0.0107503827,-0.0107576380
131,0.0012871201,0.0012871201,0.0009821391
132,-0.0165045622,-0.0165045622,-0.0164320772
133,0.0187684807,0.0187684807,0.0206111682
134,0.0095493535,0.0095493535,0.0108571471
135,-0.0234233307,-0.0234233307,-0.0238433110
136,0.0105756450,0.0105756450,0.0099983514
137,-0.0094763011,-0.0094763011,-0.0113182138
138,0.0007678104,0.0007678104,-0.0029069304
139,0.0116255283,0.0116255283,0.0078881931
140,0.0043191601,0.0043191601,0.0008834713
141,0.0093645525,0.0093645525,0.0079865003
142,0.0009585233,0.0009585233,-0.0006755964
143,-0.0155179634,-0.0155179634,-0.0162336504
144,-0.0188674107,-0.0188674107,-0.0182504628
145,-0.0027400673,-0.0027400673,-0.0017327352
146,-0.0044836172,-0.0044836172,-0.0036063183
147,0.0166383349,0.0166383349,0.0178069672
148,0.0130237244,0.0130237244,0.0146988305
149,0.0001345750,0.0001345750,0.0012359884
150,0.0097151229,0.0097151229,0.0106235525
151,0.0011071860,0.0011071860,0.0010465520
152,0.0040193129,0.0040193129,0.0056311055
153,-0.0003159784,-0.0003159784,0.0012133049
154,-0.0053365777,-0.0053365777,-0.0025243312
155,-0.0085795272,-0.0085795272,-0.0052540010
156,0.0000348815,0.0000348815,0.0037994320
157,-0.0010360072,-0.0010360072,0.0031384029
158,-0.0073719706,-0.0073719706,-0.0028381524
159,-0.0077147369,-0.0077147369,-0.0030655227
160,0.0124790370,0.0124790370,0.0172747125
161,-0.0242129807,-0.0242129807,-0.0194200846
162,0.0093765509,0.0093765509,0.0135180576
163,0.0080201597,0.0080201597,0.0106437725
164,0.0090650829,0.0090650829,0.0117724251
165,-0.0162788536,-0.0162788536,-0.0129527467
166,-0.0024808358,-0.0024808358,0.0002424572
167,-0.0134361434,-0.0134361434,-0.0107884259
168,0.0077603406,0.0077603406,0.0110369136
169,-0.0110428757,-0.0110428757,-0.0065578673
170,-0.0044970940,-0.0044970940,-0.0002335115
171,-0.0160529073,-0.0160529073,-0.0129725513
172,-0.0103954883,-0.0103954883,-0.0082344075
173,0.0243457159,0.0243457159,0.0269009316
174,0.0080237942,0.0080237942,0.0105572913
175,-0.0070502765,-0.0070502765,-0.0050522268
176,0.0032127794,0.0032127794,0.0042466510
177,-0.0125631594,-0.0125631594,-0.0107835061
178,0.0068380123,0.0068380123,0.0075788185
179,0.0010130415,0.0010130415,-0.0001452908
180,0.0063055046,0.0063055046,0.0053893714
181,0.0121294084,0.0121294084,0.0115218077
182,0.0022616863,0.0022616863,0.0015033344
183,-0.0108837191,-0.0108837191,-0.0127732623
184,0.0345904220,0.0345904220,0.0341239742
185,0.0062861498,0.0062861498,0.0051048739
186,0.0060713908,0.0060713908,0.0041297301
187,0.0074816015,0.0074816015,0.0051522514
188,-0.0031835673,-0.0031835673,-0.0053209173
189,-0.0009324322,-0.0009324322,-0.0025434683
190,0.0013578144,0.0013578144,0.0000020304
191,-0.0076576534,-0.0076576534,-0.0090669495
192,0.0085882167,0.0085882167,0.0065696375
193,-0.0105237739,-0.0105237739,-0.0129371713
194,-0.0211433448,-0.0211433448,-0.0233051691
195,-0.0165545276,-0.0165545276,-0.0193933891
196,0.0190706298,0.0190706298,0.0159680555
197,-0.0017575551,-0.0017575551,-0.0062646552
198,-0.0213756866,-0.0213756866,-0.0264744839
199,-0.0114899777,-0.0114899777,-0.0136971385
200,0.0003582150,0.0003582150,-0.0012817282
201,-0.0019163876,-0.0019163876,-0.0036115275
202,-0.0064632722,-0.0064632722,-0.0077973609
203,0.0185380926,0.0185380926,0.0170935056
204,0.0095137754,0.0095137754,0.0074944669
205,-0.0063921577,-0.0063921577,-0.0088738905
206,0.0049251669,0.0049251669,0.0031359576
207,0.0028294963,0.0028294963,0.0018357516
208,-0.0099260834,-0.0099260834,-0.0119836434
209,0.0022917182,0.0022917182,-0.0003961060
210,0.0038157548,0.0038157548,0.0008017674
211,0.0144191067,0.0144191067,0.0116458170
212,0.0046366046,0.0046366046,0.0017362359
213,0.0057186980,0.0057186980,0.0027643815
214,-0.0210134559,-0.0210134559,-0.0240691432
215,0.0082151038,0.0082151038,0.0066162206
216,-0.0016011775,-0.0016011775,-0.0040207006
217,-0.0083194807,-0.0083194807,-0.0117517938
218,0.0047183117,0.0047183117,0.0025920244
219,-0.0047211894,-0.0047211894,-0.0057822379
220,-0.0010328843,-0.0010328843,-0.0016543960
221,0.0064938752,0.0064938752,0.0062661469
222,0.0041637531,0.0041637531,0.0044391919
223,0.0009358218,0.0009358218,0.0023985165
224,0.0214202855,0.0214202855,0.0234249801
225,-0.0167937249,-0.0167937249,-0.0139511560
226,0.0071206273,0.0071206273,0.0088698212
227,0.0027237723,0.0027237723,0.0032126162
228,-0.0121141845,-0.0121141845,-0.0107469295
229,-0.0064938251,-0.0064938251,-0.0068375689
230,-0.0050572242,-0.0050572242,-0.0064790576
231,-0.0139960786,-0.0139960786,-0.0156747947
232,-0.0113080600,-0.0113080600,-0.0126827501
233,-0.0107959359,-0.0107959359,-0.0113616135
234,-0.0016229598,-0.0016229598,-0.0023147810
235,-0.0004170968,-0.0004170968,-0.0029163691
236,-0.0107075961,-0.0107075961,-0.0136089193
237,0.0028810644,0.0028810644,-0.0002638027
238,-0.0039579683,-0.0039579683,-0.0065950641
239,-0.0113575390,-0.0113575390,-0.0131121437
240,0.0022443102,0.0022443102,0.0005978940
241,-0.0020452589,-0.0020452589,-0.0031738436
242,-0.0034074725,-0.0034074725,-0.0039124478
243,0.0155529342,0.0155529342,0.0150494599
244,0.0014347646,0.0014347646,0.0026236614
245,0.0150632074,0.0150632074,0.0150865583
246,-0.0053752433,-0.0053752433,-0.0050569197
247,-0.0231550591,-0.0231550591,-0.0229575290
248,0.0285808014,0.0285808014,0.0282865435
249,0.0130490921,0.0130490921,0.0120179625
250,-0.0073651193,-0.0073651193,-0.0073849295
251,-0.0098908664,-0.0098908664,-0.0101198800
252,0.0017057376,0.0017057376,0.0016130886
253,-0.0014656036,-0.0014656036,-0.0019943732
254,-0.0020622106,-0.0020622106,-0.0026908951
255,-0.0090555735,-0.0090555735,-0.0102119570
256,0.0297090162,0.0297090162,0.0281160748
257,0.0155166563,0.0155166563,0.0140162924
258,-0.0110943490,-0.0110943490,-0.0123436234
259,-0.0239324040,-0.0239324040,-0.0257661375
260,0.0004858855,0.0004858855,-0.0002206325
261,0.0178350224,0.0178350224,0.0180698214
262,-0.0127148428,-0.0127148428,-0.0124299225
263,-0.0086302851,-0.0086302851,-0.0075201374
264,0.0145551588,0.0145551588,0.0152256836
265,0.0103913313,0.0103913313,0.0123142076
266,-0.0157622525,-0.0157622525,-0.0132190425
267,-0.0056012336,-0.0056012336,-0.0039584176
268,-0.0178851719,-0.0178851719,-0.0162038603
269,-0.0058753697,-0.0058753697,-0.0045368226
270,-0.0010923153,-0.0010923153,0.0008876415
271,0.0173950987,0.0173950987,0.0194732761
272,0.0023338319,0.0023338319,0.0034131872
273,-0.0073873501,-0.0073873501,-0.0057158223
274,0.0110379883,0.0110379883,0.0122887545
275,-0.0059997097,-0.0059997097,-0.0039872331
276,0.0085801848,0.0085801848,0.0103265735
277,-0.0040420836,-0.0040420836,-0.0028705448
278,-0.0129643554,-0.0129643554,-0.0125221929
279,-0.0082107770,-0.0082107770,-0.0061538911
280,-0.0019369279,-0.0019369279,0.0004220755
281,-0.0207528453,-0.0207528453,-0.0176913060
282,0.0010516310,0.0010516310,0.0041979655
283,0.0129441924,0.0129441924,0.0163180635
284,-0.0019820600,-0.0019820600,0.0010521689
285,0.0001281671,0.0001281671,0.0030423887
286,0.0005125384,0.0005125384,0.0027255646
287,0.0161957692,0.0161957692,0.0170055807
288,0.0124564249,0.0124564249,0.0128630921
289,-0.0074851834,-0.0074851834,-0.0062381000
290,0.0004663157,0.0004663157,0.0012897096
291,0.0020016959,0.0020016959,0.0018399931
292,0.0085830007,0.0085830007,0.0086393620
293,0.0019374088,0.0019374088,0.0011601086
294,0.0008863765,0.0008863765,-0.0000842609
295,0.0129858252,0.0129858252,0.0117692840
296,-0.0035003039,-0.0035003039,-0.0061383173
297,0.0248449150,0.0248449150,0.0226250309
298,0.0078373002,0.0078373002,0.0066564429
299,0.0044133706,0.0044133706,0.0033201249
300,0.0024638571,0.0012638571,0.0018975697
301,0.0085108544,0.0073108544,0.0073141612
302,0.0099329098,0.0087329098,0.0090267165
303,-0.0051434224,-0.0063434224,-0.0071120985
304,-0.0077685908,-0.0089685908,-0.0084922183
305,-0.0049937462,-0.0061937462,-0.0065285484
306,-0.0217104359,-0.0229104359,-0.0234950672
307,0.0010017513,-0.0001982487,-0.0003141343
308,0.0035863705,0.0023863705,0.0023103547
309,-0.0104468732,-0.0116468732,-0.0107241466
310,0.0030024289,0.0018024289,0.0022006829
311,0.0097880202,0.0085880202,0.0094887262
312,0.0028793135,0.0016793135,0.0021967812
313,-0.0070164546,-0.0082164546,-0.0081939041
314,0.0325274602,0.0313274602,0.0329015155
315,0.0057428945,0.0045428945,0.0079268599
316,0.0027472383,0.0015472383,0.0051551349
317,0.0097057055,0.0085057055,0.0124744389
318,0.0060091685,0.0048091685,0.0106997525
319,-0.0144657632,-0.0156657632,-0.0109976286
320,-0.0018877764,-0.0030877764,0.0001181737
321,-0.0094143841,-0.0106143841,-0.0085093170
322,-0.0087289534,-0.0099289534,-0.0070324242
323,0.0098170961,0.0086170961,0.0107299461
324,0.0134737912,0.0122737912,0.0140205023
325,-0.0078415700,-0.0090415700,-0.0086143914
326,0.0014987968,0.0002987968,0.0016544544
327,0.0041822510,0.0029822510,0.0050413519
328,0.0119947255,0.0107947255,0.0135567152
329,-0.0105465414,-0.0117465414,-0.0098936008
330,0.0059263052,0.0047263052,0.0072853814
331,-0.0044131643,-0.0056131643,-0.0035515612
332,-0.0038122172,-0.0050122172,-0.0030385459
333,-0.0107175991,-0.0119175991,-0.0102114382
334,0.0127590772,0.0115590772,0.0128371511
335,-0.0106202623,-0.0118202623,-0.0092345237
336,0.0092169342,0.0080169342,0.0109342101
337,-0.0001675841,-0.0013675841,0.0019790289
338,-0.0004499991,-0.0016499991,0.0006755350
339,-0.0004803591,-0.0016803591,0.0015941283
340,-0.0102622820,-0.0114622820,-0.0076584113
341,-0.0017445049,-0.0029445049,0.0001382323
342,0.0076916003,0.0064916003,0.0104286179
343,-0.0040978204,-0.0052978204,-0.0018476427
344,0.0011918541,-0.0000081459,0.0028713596
345,0.0185397467,0.0173397467,0.0198818146
346,-0.0027913642,-0.0039913642,-0.0019590434
347,0.0157551330,0.0145551330,0.0152408901
348,0.0073807414,0.0061807414,0.0068688764
349,0.0021986336,0.0009986336,0.0024733846
350,0.0066869587,0.0054869587,0.0064527540
351,-0.0108207155,-0.0120207155,-0.0120484089
352,0.0087647499,0.0075647499,0.0085498539
353,0.0028993078,0.0016993078,0.0025760904
354,0.0198164554,0.0186164554,0.0204753213
355,0.0199737316,0.0187737316,0.0205177683
356,-0.0108182704,-0.0120182704,-0.0096094407
357,-0.0195752355,-0.0207752355,-0.0191360805
358,0.0072105032,0.0060105032,0.0084262881
359,-0.0039358277,-0.0051358277,-0.0028758227
360,0.0035731106,0.0023731106,0.0043071973
361,-0.0005080376,-0.0017080376,-0.0003044283
362,0.0149754712,0.0137754712,0.0156644638
363,-0.0043508826,-0.0055508826,-0.0033635025
364,0.0041457252,0.0029457252,0.0065676923
365,-0.0035996316,-0.0047996316,0.0004576643
366,-0.0061305918,-0.0073305918,-0.0003914559
367,-0.0056580633,-0.0068580633,-0.0004242577
368,0.0220003336,0.0208003336,0.0283797574
369,-0.0040985370,-0.0052985370,0.0008571436
370,-0.0127728133,-0.0139728133,-0.0090771827
371,0.0214775258,0.0202775258,0.0251612230
372,-0.0081815793,-0.0093815793,-0.0036802794
373,-0.0115045280,-0.0127045280,-0.0070611358
374,0.0146377993,0.0134377993,0.0195180607
375,-0.0009330461,-0.0021330461,0.0035169196
376,-0.0010370673,-0.0022370673,0.0021417503
377,0.0022220439,0.0010220439,0.0052312060
378,-0.0010369278,-0.0022369278,0.0017070306
379,0.0158723200,0.0146723200,0.0177382468
380,0.0037031616,0.0025031616,0.0057489318
381,0.0154176880,0.0142176880,0.0168941253
382,-0.0054042413,-0.0066042413,-0.0056511841
383,0.0006757893,-0.0005242107,0.0014029317
384,-0.0027908838,-0.0039908838,-0.0031907718
385,0.0084735487,0.0072735487,0.0090639336
386,-0.0154782224,-0.0166782224,-0.0169647191
387,0.0027247070,0.0015247070,0.0010942591
388,0.0024870373,0.0012870373,0.0014043089
389,-0.0042251027,-0.0054251027,-0.0056065534
390,-0.0009080104,-0.0021080104,-0.0013896606
391,-0.0195499857,-0.0207499857,-0.0188045573
392,-0.0009385052,-0.0021385052,-0.0006846768
393,-0.0080738846,-0.0092738846,-0.0076092960
394,-0.0011981783,-0.0023981783,-0.0026143251
395,0.0179859719,0.0167859719,0.0167288889
396,0.0146386684,0.0134386684,0.0139822193
397,-0.0083469264,-0.0095469264,-0.0077991447
398,0.0062685949,0.0050685949,0.0070925196
399,0.0134910943,0.0122910943,0.0143059298
400,0.0158593807,0.0146593807,0.0175303482
401,0.0132306308,0.0120306308,0.0144531471
402,0.0111254843,0.0099254843,0.0122942884
403,-0.0141456522,-0.0153456522,-0.0132509779
404,-0.0109301904,-0.0121301904,-0.0093986189
405,0.0036656751,0.0024656751,0.0051171608
406,-0.0002464701,-0.0014464701,0.0008220331
407,-0.0122326114,-0.0134326114,-0.0101491077
408,0.0047720100,0.0035720100,0.0075487040
409,-0.0058694927,-0.0070694927,-0.0021888300
410,-0.0008418903,-0.0020418903,0.0017419644
411,-0.0020453158,-0.0032453158,0.0008043562
412,-0.0198859583,-0.0210859583,-0.0163958176
413,-0.0197612771,-0.0209612771,-0.0167110380
414,-0.0192874747,-0.0204874747,-0.0157983901
415,0.0116655453,0.0104655453,0.0154603285
416,0.0073389742,0.0061389742,0.0106939902
417,-0.0229094017,-0.0241094017,-0.0198603181
418,-0.0063647619,-0.0075647619,-0.0032294596
419,-0.0073636399,-0.0085636399,-0.0057613069
420,0.0047677495,0.0035677495,0.0057983036
421,0.0044984803,0.0032984803,0.0052773241
422,-0.0121440781,-0.0133440781,-0.0118753773
423,0.0071224969,0.0059224969,0.0072053466
424,0.0055414698,0.0043414698,0.0048425982
425,0.0169676958,0.0157676958,0.0179413917
426,-0.0052068810,-0.0064068810,-0.0052028825
427,0.0169271631,0.0157271631,0.0176222965
428,-0.0123016602,-0.0135016602,-0.0109287044
429,0.0057226138,0.0045226138,0.0065956513
430,0.0014260490,0.0002260490,0.0010984320
431,0.0075851531,0.0063851531,0.0075741648
432,-0.0121911981,-0.0133911981,-0.0130929535
433,0.0040356265,0.0028356265,0.0036097012
434,0.0071365547,0.0059365547,0.0067440717
435,-0.0035967076,-0.0047967076,-0.0034525636
436,0.0039781262,0.0027781262,0.0042831999
437,-0.0030475903,-0.0042475903,-0.0025006124
438,0.0014022819,0.0002022819,0.0016833395
439,-0.0021086241,-0.0033086241,-0.0010101138
440,0.0163591283,0.0151591283,0.0180613996
441,0.0016766557,0.0004766557,0.0025319996
442,0.0004170669,-0.0007829331,-0.0000427562
443,-0.0001075248,-0.0013075248,-0.0017463360
444,0.0011612424,-0.0000387576,-0.0005274524
445,-0.0082344497,-0.0094344497,-0.0087789538
446,0.0101239187,0.0089239187,0.0079608134
447,0.0127852248,0.0115852248,0.0095788679
448,-0.0018388679,-0.0030388679,-0.0049602852
449,-0.0119569456,-0.0131569456,-0.0149224919
450,-0.0106989489,-0.0118989489,-0.0130698278
451,0.0047829471,0.0035829471,0.0022767514
452,0.0043782378,0.0031782378,0.0022832471
453,0.0054869824,0.0042869824,0.0042370265
454,0.0019701250,0.0007701250,-0.0004934717
455,-0.0019489084,-0.0031489084,-0.0047867453
456,0.0086085150,0.0074085150,0.0062653815
457,-0.0009698824,-0.0021698824,-0.0030462177
458,0.0017295979,0.0005295979,0.0012382707
459,-0.0019687968,-0.0031687968,-0.0027328249
460,0.0022324885,0.0010324885,0.0016105655
461,0.0119239671,0.0107239671,0.0112963193
462,-0.0034702956,-0.0046702956,-0.0032557345
463,-0.0070874357,-0.0082874357,-0.0071101310
464,0.0118642126,0.0106642126,0.0128559132
465,0.0060171379,0.0048171379,0.0069493632
466,-0.0037549136,-0.0049549136,-0.0023817027
467,0.0040265172,0.0028265172,0.0051445178
468,0.0005917900,-0.0006082100,0.0003814397
469,-0.0002855743,-0.0014855743,0.0001239285
470,0.0038886121,0.0026886121,0.0037497793
471,0.0019183361,0.0007183361,0.0023457949
472,-0.0053495464,-0.0065495464,-0.0049635269
473,0.0043421223,0.0031421223,0.0045790384
474,0.0045716213,0.0033716213,0.0067244551
475,-0.0110812743,-0.0122812743,-0.0083499946
476,-0.0054036166,-0.0066036166,-0.0024929003
477,-0.0031199726,-0.0043199726,0.0000403773
478,-0.0018348177,-0.0030348177,0.0008829362
479,0.0053018449,0.0041018449,0.0073136489
480,-0.0004592463,-0.0016592463,0.0017031572
481,-0.0003639337,-0.0015639337,0.0027103388
482,-0.0111053961,-0.0123053961,-0.0085798261
483,-0.0118860273,-0.0130860273,-0.0099382173
484,0.0139070533,0.0127070533,0.0166827684
485,-0.0008881909,-0.0020881909,0.0017766038
486,0.0076350596,0.0064350596,0.0087688577
487,0.0038410688,0.0026410688,0.0052705554
488,0.0003956766,-0.0008043234,0.0018019076
489,-0.0129930047,-0.0141930047,-0.0136688282
490,0.0159409223,0.0147409223,0.0160060372
491,-0.0131551800,-0.0143551800,-0.0127053699
492,0.0029313001,0.0017313001,0.0032559944
493,-0.0085353627,-0.0097353627,-0.0081496049
494,-0.0107028381,-0.0119028381,-0.0104185922
495,0.0038549282,0.0026549282,0.0039897020
496,-0.0010367366,-0.0022367366,-0.0009815548
497,0.0065536271,0.0053536271,0.0070649334
498,-0.0145952378,-0.0157952378,-0.0146603238
499,0.0014768869,0.0002768869,0.0020017398
